Telepules,min_votes,Korzet_count,entropy,p
Baktüttös,54,2,0.6931471805599453,1.0
Bakóca,14,2,0.6931471805599453,1.0
Balajt,37,2,0.6931471805599453,1.0
Balassagyarmat,80,32,2.1445601533559175,0.421
Balaton,68,4,0.5623351446188083,0.0372
Balatonakali,75,2,0.6931471805599453,1.0
Balatonalmádi,76,16,1.981332514723983,0.5473
Balatonberény,111,2,0.6931471805599453,1.0
Balatonboglár,83,12,1.5171063970610275,0.0288
Balatoncsicsó,18,2,0.6931471805599453,1.0
Balatonederics,101,2,0.0,0.1008
Balatonendréd,117,2,0.6931471805599453,1.0
Balatonfenyves,15,6,1.5607104090414063,0.8472
Balatonföldvár,72,4,1.3862943611198906,1.0
Balatonfüred,122,16,1.9061547465398494,0.3049
Balatonfőkajár,109,2,0.6931471805599453,1.0
Balatonfűzfő,77,10,1.8866967846580784,0.827
Balatongyörök,93,2,0.6931471805599453,1.0
Balatonhenye,15,2,0.6931471805599453,1.0
Balatonkenese,76,8,1.320888343149322,0.0547
Balatonkeresztúr,82,4,1.0397207708399179,0.5047
Balatonlelle,97,10,1.8866967846580784,0.827
Balatonmagyaród,65,2,0.6931471805599453,1.0
Balatonmáriafürdő,79,2,0.6931471805599453,1.0
Balatonrendes,18,2,0.6931471805599453,1.0
Balatonszabadi,55,8,1.7328679513998633,0.8178
Balatonszemes,79,4,1.0397207708399179,0.5047
Balatonszentgyörgy,77,4,1.3862943611198906,1.0
Balatonszepezd,33,2,0.6931471805599453,1.0
Balatonszárszó,68,4,1.3862943611198906,1.0
Balatonszőlős,105,2,0.6931471805599453,1.0
Balatonudvari,21,2,0.6931471805599453,1.0
Balatonvilágos,158,2,0.6931471805599453,1.0
Balatonújlak,64,2,0.6931471805599453,1.0
Balatonőszöd,54,2,0.6931471805599453,1.0
Balinka,41,4,1.0397207708399179,0.5047
Balkány,40,12,2.0228085294147036,0.914
Ballószög,104,6,1.0986122886681096,0.0669
Balmazújváros,3,34,2.108489741311394,0.2175
Balogunyom,103,2,0.6931471805599453,1.0
Balotaszállás,14,4,1.3862943611198906,1.0
Balsa,119,2,0.6931471805599453,1.0
Balástya,16,12,1.8636799873410004,0.5927
Bana,53,4,1.3862943611198906,1.0
Barabás,57,2,0.6931471805599453,1.0
Baracs,86,8,1.9061547465398496,0.9809
Baracska,26,6,1.0114042647073518,0.057
Baranyahídvég,23,2,0.6931471805599453,1.0
Baranyajenő,44,2,0.6931471805599453,1.0
Baranyaszentgyörgy,10,2,0.6931471805599453,1.0
Barbacs,48,2,0.6931471805599453,1.0
Barcs,33,20,2.180945560561596,0.8988
Barlahida,17,2,0.6931471805599453,1.0
Barnag,5,2,0.6931471805599453,1.0
Basal,18,2,0.6931471805599453,1.0
Baskó,27,2,0.0,0.1008
Battonya,45,12,2.0228085294147036,0.914
Batyk,59,2,0.6931471805599453,1.0
Baté,95,2,0.6931471805599453,1.0
Bazsi,55,2,0.6931471805599453,1.0
Becsehely,78,6,1.329661348854758,0.2068
Becske,58,2,0.6931471805599453,1.0
Becskeháza,2,2,0.6931471805599453,1.0
Becsvölgye,96,2,0.6931471805599453,1.0
Bedegkér,19,2,0.6931471805599453,1.0
Bedő,13,2,0.6931471805599453,1.0
Bejcgyertyános,57,2,0.6931471805599453,1.0
Bekecs,160,4,1.3862943611198906,1.0
Bekölce,96,2,0.6931471805599453,1.0
Belecska,38,2,0.6931471805599453,1.0
Beled,31,6,1.5607104090414063,0.8472
Beleg,53,2,0.6931471805599453,1.0
Belezna,102,2,0.6931471805599453,1.0
Beloiannisz,94,2,0.6931471805599453,1.0
Belsősárd,19,2,0.6931471805599453,1.0
Belvárdgyula,42,2,0.6931471805599453,1.0
Benk,106,2,0.6931471805599453,1.0
Bercel,130,4,1.3862943611198906,1.0
Beregdaróc,59,2,0.6931471805599453,1.0
Beregsurány,47,2,0.6931471805599453,1.0
Berekböszörmény,64,4,1.3862943611198906,1.0
Berekfürdő,116,2,0.6931471805599453,1.0
Beremend,78,6,1.7917594692280547,1.0
Berente,156,2,0.6931471805599453,1.0
Beret,15,2,0.6931471805599453,1.0
Berettyóújfalu,80,32,2.2142925131416082,0.82
Berhida,69,12,1.9792045174343245,0.8169
Berkenye,40,2,0.6931471805599453,1.0
Berkesd,64,2,0.6931471805599453,1.0
Berkesz,99,2,0.6931471805599453,1.0
Bernecebaráti,104,2,0.6931471805599453,1.0
Berzence,109,4,1.3862943611198906,1.0
Berzék,132,2,0.6931471805599453,1.0
Besence,7,2,0.6931471805599453,1.0
Besenyszög,133,6,1.5607104090414063,0.8472
Besenyőd,95,2,0.6931471805599453,1.0
Besenyőtelek,89,6,1.7917594692280547,1.0
Besnyő,75,4,1.0397207708399179,0.5047
Beszterec,94,2,0.6931471805599453,1.0
Bezedek,12,2,0.6931471805599453,1.0
Bezenye,16,6,1.5607104090414063,0.8472
Bezeréd,9,2,0.6931471805599453,1.0
Bezi,35,2,0.6931471805599453,1.0
Biatorbágy,84,16,1.9230657843241519,0.3104
Bicske,76,16,2.1006789212792603,0.8668
Bicsérd,82,2,0.6931471805599453,1.0
Bihardancsháza,26,2,0.6931471805599453,1.0
Biharkeresztes,100,10,1.8866967846580784,0.827
Biharnagybajom,112,6,1.5607104090414063,0.8472
Bihartorda,118,2,0.6931471805599453,1.0
Biharugra,95,2,0.6931471805599453,1.0
Bikal,69,2,0.6931471805599453,1.0
Bikács,38,2,0.6931471805599453,1.0
Biri,156,2,0.0,0.1008
Birján,52,2,0.6931471805599453,1.0
Bisse,27,2,0.6931471805599453,1.0
Boba,117,2,0.6931471805599453,1.0
Bocfölde,157,2,0.6931471805599453,1.0
Boconád,199,2,0.0,0.1008
Bocska,44,2,0.6931471805599453,1.0
Bocskaikert,203,4,1.3862943611198906,1.0
Boda,38,2,0.0,0.1008
Bodajk,101,8,1.6674619334292948,0.502
Bodmér,41,2,0.6931471805599453,1.0
Bodolyabér,16,2,0.6931471805599453,1.0
Bodonhely,39,2,0.6931471805599453,1.0
Bodony,107,2,0.6931471805599453,1.0
Bodorfa,20,2,0.6931471805599453,1.0
Bodrog,60,2,0.6931471805599453,1.0
Bodroghalom,126,2,0.6931471805599453,1.0
Bodrogkeresztúr,108,2,0.6931471805599453,1.0
Bodrogkisfalud,140,2,0.6931471805599453,1.0
Bodrogolaszi,153,2,0.6931471805599453,1.0
Bogdása,25,2,0.0,0.1008
Bogyiszló,82,4,1.0397207708399179,0.5047
Bogyoszló,80,2,0.6931471805599453,1.0
Bogács,122,4,1.3862943611198906,1.0
Bogád,116,2,0.6931471805599453,1.0
Bogádmindszent,19,2,0.6931471805599453,1.0
Bojt,41,2,0.6931471805599453,1.0
