Telepules,p_ld_Fidesz_twins_2014,n_wards_2014,min_Fidesz_votes_2014,p_ld_Fidesz_twins_2018,n_wards_2018,min_Fidesz_votes_2018,p_ld_Fidesz_twins_2019,n_wards_2019,min_Fidesz_votes_2019,p_last_2_regular,p_all_regular
Nagyatád,0.18689526999999995,9,38,1.0,9,61,0.18689526999999995,9,27,0.18689526999999995,0.03492984194837288
Törökszentmiklós,0.08264062255606386,18,106,0.5182147508985209,18,156,0.8332281830033342,18,98,0.4317911352967,0.03568348823510889
Zalakomár,0.18999999999999995,3,116,0.18999999999999995,3,210,1.0,3,109,0.18999999999999995,0.03609999999999998
Tiszabura,0.18999999999999995,3,53,0.18999999999999995,3,55,1.0,3,30,0.18999999999999995,0.03609999999999998
Adony,0.18999999999999995,3,208,1.0,3,292,0.18999999999999995,3,189,0.18999999999999995,0.03609999999999998
Újszilvás,0.18999999999999995,3,172,0.18999999999999995,3,234,1.0,3,122,0.18999999999999995,0.03609999999999998
Csepreg,0.18999999999999995,3,264,0.18999999999999995,3,375,1.0,3,278,0.18999999999999995,0.03609999999999998
Csanytelek,0.18999999999999995,3,158,1.0,3,216,0.18999999999999995,3,124,0.18999999999999995,0.03609999999999998
Biharnagybajom,0.18999999999999995,3,112,1.0,3,152,0.18999999999999995,3,92,0.18999999999999995,0.03609999999999998
Ajak,1.0,3,281,0.18999999999999995,3,356,0.18999999999999995,3,241,0.03609999999999998,0.03609999999999998
Sárisáp,0.18999999999999995,3,136,0.18999999999999995,3,151,1.0,3,74,0.18999999999999995,0.03609999999999998
Földeák,0.18999999999999995,3,168,0.18999999999999995,3,272,1.0,3,183,0.18999999999999995,0.03609999999999998
Vértesszőlős,1.0,3,166,0.18999999999999995,3,248,0.18999999999999995,3,153,0.03609999999999998,0.03609999999999998
Tunyogmatolcs,1.0,3,181,0.18999999999999995,3,172,0.18999999999999995,3,105,0.03609999999999998,0.03609999999999998
Tornyospálca,1.0,3,161,0.18999999999999995,3,221,0.18999999999999995,3,98,0.03609999999999998,0.03609999999999998
Tiszaújváros,0.21075066030384537,17,40,0.8146979811148158,17,48,0.21075066030384537,17,40,0.17169813746815718,0.036185495844354536
Debrecen,0.8981224577742222,140,43,0.49604385295970466,137,169,0.08512670811008582,137,102,0.04222658028070311,0.03792464006510558
Hajdúsámson,1.0,10,136,0.03809178999999996,9,203,1.0,9,105,0.03809178999999996,0.03809178999999996
Nagykovácsi,1.0,6,237,0.08145999999999998,6,235,0.46855899999999995,7,198,0.038168816139999985,0.038168816139999985
Tiszaföldvár,0.1496943999999999,8,213,0.5217030999999999,8,243,0.5217030999999999,8,144,0.2721741245496099,0.04074294226997909
Veresegyház,1.0,16,183,0.8146979811148158,17,175,0.05555563000753594,16,157,0.04526105960670121,0.04526105960670121
Nagykanizsa,0.9377429210506775,44,90,0.556280642562878,40,163,0.08943388973941824,40,39,0.04975034165114116,0.0466530307032103
Kazincbarcika,0.32895203498491754,30,79,0.9528987130275375,30,111,0.15844408392822573,30,62,0.15098116366203343,0.049665561031016776
Dunaföldvár,0.5695327899999999,9,146,0.18689526999999995,9,206,0.46855899999999995,7,121,0.08757146081592997,0.04987481840287226
Bugac,0.2709999999999999,4,26,1.0,4,42,0.18999999999999995,3,106,0.18999999999999995,0.051489999999999966
Lakitelek,1.0,5,82,1.0,5,146,0.05230000000000001,5,92,0.05230000000000001,0.05230000000000001
Kozármisleny,1.0,5,202,1.0,5,240,0.05230000000000001,5,162,0.05230000000000001,0.05230000000000001
Csömör,1.0,7,245,0.46855899999999995,7,270,0.11426499999999995,7,196,0.05353989413499997,0.05353989413499997
Budapest XXIII. kerület,0.40804326879851804,24,104,0.19273101351861976,24,96,0.6848733113012438,24,67,0.1319963274189419,0.05386021290942451
Budapest XXII. kerület,0.9774716004550608,37,141,0.06282814237583723,37,141,0.9774716004550608,37,161,0.06141272488172804,0.06002919447844904
Tamási,0.18689526999999995,9,46,0.5695327899999999,9,69,0.5695327899999999,9,39,0.32436759888518396,0.06062276997289814
Győr,0.35121157177849804,96,166,0.23928569122546473,96,163,0.7450117926595241,96,149,0.17827066177765682,0.06261071932492387
Marcali,0.3026431197999999,12,15,0.6861894039099999,12,26,0.3026431197999999,12,17,0.20767050197302464,0.06285004860754821
Nagykáta,0.6861894039099999,12,110,0.3026431197999999,12,202,0.3026431197999999,12,92,0.0915928579622771,0.06285004860754821
Budapest XIV. kerület,0.11669425677250711,100,155,0.8738490208850661,75,213,0.6183985415759963,75,155,0.5403869600729372,0.06306005467526588
Bátonyterenye,1.0,15,83,0.41537085948432995,15,117,0.15835998128661988,15,76,0.06577812153494571,0.06577812153494571
Abony,0.18406106910639097,16,163,0.45095698108093596,16,220,0.794108867905351,16,109,0.3581089377201968,0.06591391393333342
Cegléd,0.8435766259644519,33,49,0.8435766259644519,33,57,0.09439867431208526,33,25,0.07963251517170607,0.06717612846561083
Fadd,0.2709999999999999,4,195,0.2709999999999999,4,254,1.0,4,133,0.2709999999999999,0.07344099999999995
Bábolna,0.2709999999999999,4,126,0.2709999999999999,4,183,1.0,4,101,0.2709999999999999,0.07344099999999995
Földes,0.2709999999999999,4,190,0.2709999999999999,4,296,1.0,4,167,0.2709999999999999,0.07344099999999995
Bóly,1.0,4,197,0.2709999999999999,4,181,0.2709999999999999,4,163,0.07344099999999995,0.07344099999999995
Hosszúpályi,0.2709999999999999,4,252,1.0,4,308,0.2709999999999999,4,155,0.2709999999999999,0.07344099999999995
Baracs,1.0,4,133,0.2709999999999999,4,185,0.2709999999999999,4,110,0.07344099999999995,0.07344099999999995
Algyő,0.2709999999999999,4,202,1.0,4,302,0.2709999999999999,4,199,0.2709999999999999,0.07344099999999995
Zalaegerszeg,0.568801593170938,51,119,0.568801593170938,51,186,0.229773158196377,51,125,0.1306953384500172,0.07433971673038475
Budapest III. kerület,0.14173773020256974,112,114,0.790829116461556,112,145,0.6821143960403482,112,122,0.5394359251462965,0.07645842361995937
Komádi,0.1496943999999999,8,34,1.0,8,28,0.5217030999999999,8,26,0.5217030999999999,0.07809603253263993
Edelény,0.1496943999999999,8,244,1.0,8,284,0.5217030999999999,8,212,0.5217030999999999,0.07809603253263993
Pilisvörösvár,0.1496943999999999,8,335,1.0,8,412,0.5217030999999999,8,273,0.5217030999999999,0.07809603253263993
Budakalász,0.5217030999999999,8,313,0.1496943999999999,8,328,1.0,8,251,0.1496943999999999,0.07809603253263993
Balatonboglár,0.08145999999999998,6,154,1.0,6,206,1.0,6,133,1.0,0.08145999999999998
Dorog,0.6125795109999999,10,108,0.6125795109999999,10,139,0.22515902199999993,10,73,0.13792780359399817,0.08449174647891541
Budapest XVII. kerület,0.11781007459250281,75,115,0.7617000299688889,75,146,0.9459448007597513,75,118,0.7205261830876172,0.08488524337540351
Kiskunhalas,0.15844408392822573,30,136,0.9528987130275375,30,188,0.5650399672172595,30,120,0.5384258575704485,0.08531039176601905
Budapest XVIII. kerület,0.7729149290605071,76,161,0.8810585988725347,76,198,0.12628022523916993,76,137,0.11126027831453116,0.08599473012072811
Budapest I. kerület,1.0,20,293,0.2945552141041041,20,278,0.2945552141041041,20,231,0.08676277415591462,0.08676277415591462
Ajka,0.5406170776759834,29,70,0.3054336969081325,29,99,0.5406170776759834,29,49,0.16512267264624664,0.08926813674406191
Budapest XIII. kerület,0.6431684809567617,98,91,0.9772358374971786,87,100,0.14867412265955515,87,54,0.14528968077136864,0.09344574328041401
Keszthely,0.2382028112497987,18,22,0.8146979811148158,17,160,0.4852721697633775,17,145,0.3953502569974298,0.0941735426451182
Tótkomlós,0.18689526999999995,9,14,1.0,9,23,0.5217030999999999,8,96,0.5217030999999999,0.09750384173433695
Pécel,0.3026431197999999,12,143,0.7175704635189999,13,246,0.45095698108093596,16,125,0.3235934099413761,0.09793331913137837
Szekszárd,0.3298635520548925,39,127,0.904704869924907,39,140,0.3298635520548925,39,35,0.2984291619547893,0.09844090339917158
Pápa,0.5886487604404953,31,130,0.17549487903389482,31,159,0.9576088417247838,31,129,0.16805544784027907,0.09892563105645259
Csákánydoroszló,1.0,2,162,0.09999999999999998,2,248,1.0,2,162,0.09999999999999998,0.09999999999999998
Érsekcsanád,1.0,2,298,1.0,2,385,0.09999999999999998,2,262,0.09999999999999998,0.09999999999999998
Dunakiliti,1.0,2,191,0.09999999999999998,2,242,1.0,2,185,0.09999999999999998,0.09999999999999998
Kömlő,1.0,2,127,0.09999999999999998,2,248,1.0,2,130,0.09999999999999998,0.09999999999999998
Páka,1.0,2,40,1.0,2,44,0.09999999999999998,2,38,0.09999999999999998,0.09999999999999998
Mórágy,1.0,2,27,0.09999999999999998,2,37,1.0,2,14,0.09999999999999998,0.09999999999999998
Pálmonostora,1.0,2,214,1.0,2,292,0.09999999999999998,2,181,0.09999999999999998,0.09999999999999998
Pánd,1.0,2,101,1.0,2,169,0.09999999999999998,2,80,0.09999999999999998,0.09999999999999998
Városföld,1.0,2,268,1.0,2,378,0.09999999999999998,2,228,0.09999999999999998,0.09999999999999998
